Temperature,Humidity,Pressure,Distance,Counter
"22,93","46,53","1012,09","-1",1
"22,93","46,5","1011,96","-1",2
"22,93","46,58","1011,96","-1",3
"22,93","46,56","1011,99","-1",4
"22,92","46,57","1012,02","-1",5
"22,94","46,59","1011,99","-1",6
"22,91","46,53","1012","-1",7
"22,93","46,57","1012,01","-1",8
"22,94","46,51","1011,99","-1",9
"22,91","46,53","1012","-1",10
"22,9","46,54","1011,99","-1",11
"22,92","46,47","1011,95","-1",12
"22,93","46,51","1012","-1",13
"22,94","46,45","1012,01","-1",14
"22,93","46,44","1011,98","-1",15
"22,92","46,38","1011,99","-1",16
"22,93","46,39","1012","-1",17
"22,91","46,38","1011,98","-1",18
"22,91","46,35","1012,01","-1",19
"22,93","46,32","1012,01","-1",20
"22,94","46,34","1011,96","-1",21
"22,89","46,32","1011,99","-1",22
"22,93","46,29","1011,99","-1",23
"22,91","46,25","1011,99","-1",24
"22,91","46,28","1011,98","-1",25
"22,93","46,26","1011,98","-1",26
"22,9","46,28","1011,99","-1",27
"22,92","46,22","1011,96","-1",28
"22,94","46,2","1011,99","-1",29
"22,9","46,22","1011,99","-1",30
"22,95","46,23","1011,99","-1",31
"22,93","46,25","1011,99","-1",32
"22,9","46,23","1011,98","-1",33
"22,93","46,2","1012","-1",34
"22,93","46,17","1011,99","-1",35
"22,95","46,25","1011,99","-1",36
"22,94","46,18","1011,99","-1",37
"22,93","46,17","1011,99","-1",38
"22,93","46,19","1012","-1",39
"22,93","46,19","1011,97","-1",40
"22,95","46,24","1011,99","-1",41
"22,94","46,23","1011,99","-1",42
"22,94","46,17","1012,01","-1",43
"22,92","46,16","1011,98","-1",44
"22,93","46,15","1012","-1",45
"22,93","46,16","1011,96","-1",46
"22,95","46,17","1011,99","-1",47
"22,94","46,17","1011,97","-1",48
"22,95","46,14","1011,95","-1",49
"22,93","46,13","1011,97","-1",50
"22,93","46,15","1011,99","-1",51
"22,93","46,15","1011,99","-1",52
"22,91","46,13","1012,01","-1",53
"22,93","46,13","1012","-1",54
"22,96","46,15","1011,99","-1",55
"22,95","46,17","1012","-1",56
"22,92","46,1","1012","-1",57
"22,93","46,14","1011,97","-1",58
"22,96","46,12","1011,97","-1",59
"22,96","46,11","1012","-1",60
"22,94","46,09","1011,99","-1",61
"22,96","46,1","1012,01","-1",62
"22,96","46,01","1011,99","-1",63
"22,97","46,08","1011,98","-1",64
"22,97","46,06","1011,98","-1",65
"22,96","46,05","1012","-1",66
"22,96","46,05","1011,98","-1",67
"22,96","46,15","1011,97","-1",68
"22,97","46,13","1011,97","-1",69
"22,96","46,11","1011,95","-1",70
"23","46,08","1011,96","-1",71
"22,99","46,16","1011,98","-1",72
"22,96","46,13","1012,02","-1",73
"23","46,17","1011,98","-1",74
"22,97","46,15","1011,97","-1",75
"22,97","46,16","1011,96","-1",76
"22,99","46,2","1011,99","-1",77
"22,99","46,14","1011,98","-1",78
"23","46,11","1011,98","-1",79
"22,99","46,15","1011,99","-1",80
"22,99","46,12","1011,98","-1",81
"23,01","46,15","1011,97","-1",82
"23","46,14","1011,97","-1",83
"22,99","46,16","1011,97","-1",84
"23,01","46,17","1011,93","-1",85
"22,98","46,12","1011,96","-1",86
"23,03","46,03","1011,96","-1",87
"23,01","46,1","1011,99","-1",88
"23","46,03","1011,97","-1",89
"23,02","45,96","1011,97","-1",90
"23,01","45,95","1011,98","-1",91
"23,01","45,87","1011,94","-1",92
"23,02","45,88","1011,97","-1",93
"23,05","45,84","1011,96","-1",94
"23,02","45,82","1011,94","-1",95
"23,03","45,8","1011,97","-1",96
"23,01","45,75","1011,98","-1",97
"23,05","45,73","1011,95","-1",98
"23,05","45,72","1011,96","-1",99
"23,05","45,71","1011,94","-1",100
"23,03","45,74","1011,96","-1",101
"23,06","45,75","1011,98","-1",102
"23,03","45,72","1011,95","-1",103
"23,03","45,72","1011,93","-1",104
"23,06","45,74","1011,94","-1",105
"23,09","45,75","1011,94","-1",106
"23,05","45,78","1011,96","-1",107
"23,06","45,78","1011,95","-1",108
"23,1","45,75","1011,96","-1",109
"23,06","45,74","1011,98","-1",110
"23,07","45,75","1011,96","-1",111
"23,08","45,74","1011,98","-1",112
"23,07","45,72","1011,95","-1",113
"23,06","45,72","1011,97","-1",114
"23,11","45,65","1011,95","-1",115
"23,1","45,66","1011,96","-1",116
"23,07","45,63","1011,93","-1",117
"23,1","45,62","1011,95","-1",118
"23,09","45,64","1011,96","-1",119
"23,07","45,69","1011,95","-1",120
"23,11","45,63","1011,99","-1",121
"23,09","45,63","1011,97","-1",122
"23,08","45,57","1011,97","-1",123
"23,13","45,6","1011,96","-1",124
"23,1","45,62","1011,98","-1",125
"23,14","45,58","1011,95","-1",126
"23,14","45,62","1011,92","-1",127
"23,09","45,61","1011,99","-1",128
"23,12","45,6","1011,94","-1",129
"23,15","45,59","1011,96","-1",130
"23,14","45,57","1011,94","-1",131
"23,13","45,54","1011,96","-1",132
"23,14","45,55","1011,96","-1",133
"23,14","45,55","1011,98","-1",134
"23,15","45,53","1011,96","-1",135
"23,13","45,5","1011,96","-1",136
"23,15","45,5","1011,97","-1",137
"23,18","45,53","1011,98","-1",138
"23,16","45,54","1011,97","-1",139
"23,17","45,51","1011,98","-1",140
"23,19","45,52","1011,98","-1",141
"23,17","45,54","1011,95","-1",142
"23,19","45,56","1011,98","454",143
"23,18","45,93","1011,94","1079",144
"23,16","46,86","1011,97","3287",145
"23,18","47,96","1011,97","5274",146
"23,2","49,01","1011,96","1028",147
"23,19","50,05","1011,98","854",148
"23,19","50,76","1011,97","379",149
"23,19","51,14","1011,98","362",150
"23,2","51,52","1012,01","325",151
"23,21","51,83","1011,99","594",152
"23,19","52,01","1011,98","261",153
"23,19","52,24","1011,98","548",154
"23,22","52,55","1011,96","17",155
"23,22","53,1","1011,99","34",156
"23,23","53,67","1011,98","32",157
"23,22","54,28","1012","33",158
"23,25","54,88","1011,99","266",159
"23,26","55,49","1011,95","737",160
"23,23","55,8","1011,96","918",161
"23,32","55,72","1011,96","2042",162
"24,85","59,07","1011,96","2248",163
"24,53","66,08","1012","4429",164
"24,47","71,79","1012,03","4625",165
"24,44","76,19","1012,01","2536",166
"24,67","79,62","1011,97","2378",167
"24,75","82,49","1012,03","1984",168
"24,71","84,62","1012,04","3753",169
"24,69","86,37","1012,05","1674",170
"24,69","87,73","1012,06","1666",171
"24,66","88,89","1012,07","976",172
"24,62","89,73","1012,07","843",173
"24,57","90,4","1012,1","836",174
"24,51","90,93","1012,08","836",175
"24,5","91,35","1012,11","869",176
"24,47","91,74","1012,07","1351",177
"24,42","92,03","1012,08","1908",178
"24,39","92,23","1012,08","1472",179
"24,37","92,53","1012,06","1131",180
"24,31","92,66","1012,07","936",181
"24,26","92,84","1012,05","894",182
"24,2","92,91","1012,07","907",183
"24,17","93,05","1012,09","864",184
"24,12","93,16","1012,12","958",185
"24,05","93,25","1012,12","1197",186
"23,95","93,33","1012,1","874",187
"23,89","93,32","1012,09","859",188
"23,86","93,31","1012,1","669",189
"23,82","93,35","1012,12","708",190
"23,77","93,37","1012,12","724",191
"23,73","93,37","1012,13","708",192
"23,65","93,38","1012,14","712",193
"23,63","93,44","1012,12","715",194
"23,61","93,46","1012,1","712",195
"23,57","93,41","1012,13","696",196
"23,55","93,44","1012,13","707",197
"23,52","93,45","1012,14","704",198
"23,49","93,4","1012,14","627",199
"23,48","93,37","1012,1","582",200
"23,45","93,29","1012,16","428",201
"23,42","93,2","1012,13","660",202
"23,42","93,1","1012,1","693",203
"23,36","92,9","1012,1","692",204
"23,36","92,56","1012,15","671",205
"23,37","92,09","1012,13","792",206
"23,34","91,5","1012,11","731",207
"23,33","90,67","1012,11","899",208
"23,35","89,44","1012,13","767",209
"23,39","87,87","1012,14","389",210
"23,38","85,88","1012,13","36",211
"23,41","83,7","1012,12","122",212
"23,41","81,43","1012,07","118",213
"23,41","78,1","1012,08","108",214
"23,46","74,75","1012,11","930",215
"23,45","71,62","1012,09","997",216
"23,44","67,9","1012,07","308",217
"23,45","64,28","1012,04","109",218
"23,48","61,31","1012,05","976",219
"23,47","58,7","1012,05","372",220
"23,49","56,79","1012,03","1700",221
"23,48","55,63","1012,06","1673",222
"23,53","54,89","1012,06","395",223
"23,52","54,33","1012,05","170",224
"23,54","54,01","1012,07","-1",225
