Temperature,Humidity,Pressure,Distance,Counter
"30,46","45,64","1003,97","36",649
"30,44","43,71","1003,99","37",650
"30,44","41,95","1003,9","35",651
"-1","-1","-1","-1",-1
"30,48","40,51","1004","34",652
"30,46","39,24","1004","35",653
"30,47","38,03","1003,99","38",654
"30,46","37,13","1003,98","36",655
"30,46","36,39","1003,94","36",656
"30,47","35,76","1003,97","36",657
"30,48","35,19","1003,98","35",658
"30,48","34,73","1003,99","35",659
"30,48","34,34","1003,99","36",660
"30,5","34,01","1003,99","36",661
"30,46","33,78","1003,97","33",662
"30,48","33,48","1003,96","38",663
