Counter, Temperature, Humidity, Distance, Pressure
1,27.82,43.02,45,1009.49
2,27.86,42.86,36,1009.47
3,27.84,42.61,46,1009.44
4,27.85,42.45,36,1009.43
5,27.85,42.37,44,1009.43
6,27.83,42.05,43,1009.44
7,27.86,41.72,46,1009.45
8,27.83,41.45,82,1009.42
9,27.82,41.09,39,1009.43
10,27.83,40.68,38,1009.40
11,27.84,40.27,38,1009.44
12,27.85,39.85,37,1009.43
13,27.82,39.55,40,1009.42
14,27.84,39.27,39,1009.43
15,27.86,38.96,39,1009.44
16,27.84,38.78,37,1009.42
17,27.87,38.60,38,1009.46
18,27.85,38.34,38,1009.44
19,27.87,38.21,37,1009.45
20,27.86,37.99,36,1009.45
21,27.87,37.87,39,1009.42
22,27.82,37.70,38,1009.43
23,27.86,37.56,40,1009.42
24,27.85,37.43,38,1009.42
25,27.84,37.24,40,1009.40
26,27.84,37.12,37,1009.44
27,27.83,36.98,37,1009.43
28,27.84,36.84,37,1009.45
29,27.82,36.86,36,1009.42
30,27.88,37.14,37,1009.42
31,27.85,37.35,37,1009.43
32,27.87,37.46,36,1009.41
33,27.83,37.55,38,1009.43
34,27.84,37.56,36,1009.42
35,27.86,37.40,38,1009.44
36,27.81,37.32,38,1009.43
37,27.83,37.25,36,1009.46
38,27.83,37.11,38,1009.41
39,27.85,37.17,37,1009.44
40,27.85,37.46,36,1009.44
41,27.87,37.77,38,1009.40
42,27.84,38.02,37,1009.41
43,27.83,38.15,46,1009.42
44,27.82,38.21,35,1009.39
45,27.85,38.15,37,1009.41
46,27.88,38.08,37,1009.42
47,27.84,37.93,37,1009.43
48,27.88,37.75,37,1009.40
49,27.85,37.56,36,1009.43
50,27.85,37.36,46,1009.41
51,27.88,37.19,38,1009.40
52,27.87,36.99,37,1009.42
53,27.91,36.88,36,1009.40
54,27.85,36.86,34,1009.45
55,27.85,36.80,36,1009.43
56,27.88,36.75,38,1009.39
57,27.88,36.65,44,1009.44
58,27.86,36.54,37,1009.43
59,27.87,36.46,37,1009.42
60,27.87,36.48,36,1009.40
61,27.88,36.51,34,1009.42
62,27.86,36.52,35,1009.43
63,27.88,36.58,34,1009.40
64,27.86,36.69,45,1009.41
65,27.88,37.01,44,1009.41
66,27.88,37.44,36,1009.40
67,27.89,38.02,32,1009.37
68,27.86,38.35,37,1009.40
69,27.88,38.59,37,1009.43
70,27.89,39.01,37,1009.42
71,27.88,39.53,45,1009.41
