Counter, Temperature, Humidity, Distance, Pressure
1,26.33,52.10,38,1009.40
2,26.32,51.08,37,1009.44
3,26.30,49.85,36,1009.44
4,26.32,48.80,40,1009.46
5,26.32,47.97,38,1009.45
6,26.29,47.25,29,1009.41
7,26.35,46.56,38,1009.40
8,26.35,45.96,37,1009.44
9,26.35,45.40,30,1009.45
10,26.36,44.90,39,1009.47
11,26.37,44.97,38,1009.45
12,26.35,45.56,47,1009.48
13,26.36,46.70,45,1009.46
14,26.39,47.35,47,1009.45
15,26.38,47.30,48,1009.46
16,26.39,46.95,45,1009.47
17,26.40,46.48,48,1009.43
18,26.38,45.84,45,1009.45
19,26.42,45.25,45,1009.44
20,26.42,44.75,45,1009.44
21,26.40,44.42,37,1009.43
22,26.40,44.06,34,1009.43
23,26.42,43.77,47,1009.45
24,26.40,43.47,46,1009.44
25,26.40,43.24,45,1009.44
26,26.42,42.99,34,1009.46
27,26.42,42.69,46,1009.46
28,26.43,42.34,43,1009.44
29,26.44,42.03,43,1009.43
30,26.42,41.64,45,1009.44
31,26.43,41.39,46,1009.41
32,26.46,41.13,36,1009.41
33,26.43,40.83,33,1009.43
34,26.44,40.59,45,1009.41
35,26.45,40.34,31,1009.41
36,26.47,40.07,45,1009.42
37,26.44,39.74,43,1009.43
38,26.45,39.50,45,1009.43
39,26.45,39.27,44,1009.44
40,26.47,39.05,54,1009.43
41,26.49,38.86,45,1009.42
42,26.45,38.67,45,1009.45
43,26.46,38.50,33,1009.43
44,26.47,38.42,44,1009.43
45,26.46,38.40,43,1009.43
46,26.45,38.33,45,1009.46
47,26.49,38.38,54,1009.44
48,26.47,38.27,56,1009.45
49,26.47,38.28,32,1009.44
50,26.49,38.26,33,1009.43
51,26.50,38.24,55,1009.43
52,26.46,38.22,44,1009.45
53,26.48,38.44,44,1009.43
54,26.50,38.58,43,1009.48
55,26.51,38.73,65,1009.42
56,26.54,39.12,43,1009.43
57,26.49,39.42,43,1009.45
58,26.51,39.76,54,1009.43
59,26.53,39.80,52,1009.41
60,26.54,39.71,53,1009.43
61,26.53,39.54,54,1009.41
62,26.53,39.45,53,1009.41
63,26.53,39.67,44,1009.42
64,26.53,39.98,43,1009.43
65,26.59,40.25,41,1009.42
66,26.56,40.50,40,1009.42
67,26.56,40.98,52,1009.43
68,26.57,41.26,42,1009.42
69,26.54,41.22,43,1009.45
70,26.58,40.97,42,1009.44
71,26.58,40.74,42,1009.42
73,26.59,41.09,56,1009.42
74,26.59,41.25,43,1009.46
75,26.57,41.34,52,1009.46
76,26.58,41.31,43,1009.43
77,26.62,41.35,42,1009.43
78,26.60,41.14,52,1009.44
79,26.62,40.98,32,1009.42
80,26.60,41.03,54,1009.43
81,26.61,41.04,43,1009.44
82,26.64,41.03,43,1009.47
83,26.64,41.16,41,1009.44
84,26.64,41.19,53,1009.43
85,26.62,41.15,42,1009.44
86,26.61,41.18,39,1009.41
87,26.64,41.20,53,1009.41
88,26.62,41.38,43,1009.42
89,26.67,41.55,40,1009.44
90,26.67,41.48,43,1009.43
91,26.68,41.34,53,1009.44
92,26.66,41.14,32,1009.43
93,26.68,41.04,63,1009.43
